COMID,comb_0001,comb_0002,comb_0003,comb_0004,comb_0005,comb_0006,comb_0007,comb_0008,comb_0009,comb_0010,comb_0011,comb_0012,comb_0013,comb_0014,comb_0015
71022153,0.0,0.0,0.0,0.07281491164730788,0.0,0.0,0.480597676269704,0.0,0.4465874120829881,0.0,0.0,0.0,0.0,0.0,0.0
71022160,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022164,0.0,0.0,0.0,0.0,0.0,0.0,0.93737247456633,0.0,0.0,0.06262752543367006,0.0,0.0,0.0,0.0,0.0
71022165,0.10864300833296917,0.0,0.0,0.0,0.0,0.06815290431072366,0.7192361081605622,0.0,0.0,0.10396797919574503,0.0,0.0,0.0,0.0,0.0
71022168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022170,0.0,0.0,0.0,0.0,0.06885037679796215,0.0,0.9311496232020379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022198,0.0,0.0,0.0,0.06984276223357129,0.0,0.0,0.6302709506868198,0.0,0.0,0.299886287079609,0.0,0.0,0.0,0.0,0.0
71022209,0.15038674525014753,0.0,0.0,0.0,0.0,0.0,0.8496132547498525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022220,0.10974353947083008,0.0,0.0,0.13674095985566734,0.0,0.10957291659496445,0.6439425840785381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022225,0.2747929566225029,0.0,0.0,0.11537546427463537,0.0,0.22876268404251235,0.38106889506034924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022242,0.10101504190951756,0.0,0.0,0.1453912217059642,0.0,0.08143019830694148,0.6721635380775768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022248,0.0,0.0,0.0,0.12364099798288355,0.0,0.0,0.8763590020171165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022253,0.1367521749495068,0.0,0.0,0.1603502083972416,0.0,0.0,0.6329541523647314,0.0,0.06994346428852018,0.0,0.0,0.0,0.0,0.0,0.0
71022302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022365,0.08853175318704373,0.0,0.0,0.11449082355308592,0.0,0.09161178125757999,0.643516943907603,0.0,0.0,0.0618486980946873,0.0,0.0,0.0,0.0,0.0
71022407,0.0,0.0,0.0,0.10554179325542222,0.0,0.0,0.8944582067445778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022409,0.40089964653999033,0.0,0.0,0.20172870118065422,0.10289412341841796,0.07475242998632632,0.21972509887461125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022426,0.0,0.0,0.0,0.08907990911702555,0.06755141889354813,0.0,0.6503916006914566,0.0,0.1929770712979698,0.0,0.0,0.0,0.0,0.0,0.0
71022435,0.08794931860915679,0.0,0.0,0.16910639040518313,0.061024812430265266,0.0,0.5850839852079245,0.0,0.0,0.09683549334747027,0.0,0.0,0.0,0.0,0.0
71022444,0.0,0.0,0.0,0.0,0.0,0.0,0.9253389678063929,0.0,0.07466103219360716,0.0,0.0,0.0,0.0,0.0,0.0
71022454,0.10257835347283924,0.0,0.0,0.13759894021672786,0.08751975685997967,0.10365410495090166,0.5686488444995517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022639,0.0,0.0,0.0,0.06398625382242719,0.07504112325033066,0.0,0.8053121319959752,0.0,0.0,0.05566049093126706,0.0,0.0,0.0,0.0,0.0
71022647,0.0,0.0,0.0,0.056605004876833794,0.0,0.0,0.9433949951231662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022661,0.0,0.0,0.0,0.18102801159050638,0.0,0.0,0.8189719884094936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022679,0.0,0.0,0.0,0.08343356390866469,0.0,0.0,0.859584317749163,0.0,0.0,0.056982118342172414,0.0,0.0,0.0,0.0,0.0
71022693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022754,0.0,0.0,0.0,0.0,0.0,0.0,0.9236740061478835,0.0,0.07632599385211641,0.0,0.0,0.0,0.0,0.0,0.0
71022780,0.0,0.0,0.0,0.0,0.0,0.0,0.924970352132423,0.0,0.075029647867577,0.0,0.0,0.0,0.0,0.0,0.0
71022911,0.0,0.0,0.0,0.10018144741926475,0.0,0.0,0.829613111188352,0.0,0.07020544139238324,0.0,0.0,0.0,0.0,0.0,0.0
71022945,0.0,0.0,0.0,0.1301325703619606,0.0,0.08914996715751464,0.695190051051678,0.0,0.08552741142884682,0.0,0.0,0.0,0.0,0.0,0.0
71022992,0.0,0.0,0.0,0.10060650240581402,0.0,0.05961769656730217,0.7796797499930327,0.0,0.06009605103385121,0.0,0.0,0.0,0.0,0.0,0.0
71023020,0.0,0.0,0.0,0.09440370229336768,0.0,0.0,0.8288695245363411,0.0,0.07672677317029125,0.0,0.0,0.0,0.0,0.0,0.0
71023103,0.0,0.0,0.0,0.11648498479941403,0.0,0.0,0.883515015200586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023104,0.0,0.0,0.0,0.08312290335580803,0.0,0.0,0.8570694524240736,0.0,0.05980764422011832,0.0,0.0,0.0,0.0,0.0,0.0
71023181,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023309,0.0,0.0,0.0,0.12060963784672309,0.0,0.0,0.8793903621532769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023477,0.0,0.0,0.0,0.08372765416070803,0.0,0.06628393826403052,0.8499884075752614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023591,0.0,0.0,0.0,0.11041500302459496,0.0,0.0,0.889584996975405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023606,0.0,0.0,0.0,0.06211583300018071,0.0,0.0,0.6850290660485433,0.0,0.11700719129648653,0.13584790965478943,0.0,0.0,0.0,0.0,0.0
71023674,0.0,0.0,0.0,0.09715063787882687,0.0,0.0,0.9028493621211732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023778,0.0,0.0,0.08951060696158358,0.13223468262363905,0.0,0.0,0.7225042051526578,0.0,0.05575050526211966,0.0,0.0,0.0,0.0,0.0,0.0
71023889,0.0,0.0,0.0,0.0,0.0,0.0,0.9397216525433134,0.0,0.06027834745668653,0.0,0.0,0.0,0.0,0.0,0.0
71023895,0.0,0.0,0.06251784545788439,0.16864828834327217,0.0,0.07109203383546897,0.6977418323633745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023936,0.1351191261269818,0.0,0.12090840194890848,0.17522839321293524,0.0,0.11335333870640472,0.45539074000476976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023982,0.0642931843575055,0.0,0.0,0.13499994377802618,0.0,0.06087400586485669,0.7398328659996116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023994,0.0,0.0,0.0,0.05284124566292793,0.0,0.0,0.5921515474154935,0.0,0.15532329116405452,0.199683915757524,0.0,0.0,0.0,0.0,0.0
71024080,0.11455866789318885,0.0,0.0,0.2532792399021922,0.0,0.0,0.632162092204619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024082,0.0,0.0,0.0,0.09881714205195372,0.0,0.0,0.8319720431858517,0.0,0.06921081476219458,0.0,0.0,0.0,0.0,0.0,0.0
71024128,0.0,0.0,0.0,0.17753920930570088,0.0,0.0,0.7572135115450677,0.0,0.0652472791492316,0.0,0.0,0.0,0.0,0.0,0.0
71024198,0.0,0.0,0.0,0.05215736615578698,0.0,0.0,0.8873403483146987,0.0,0.060502285529514255,0.0,0.0,0.0,0.0,0.0,0.0
71024229,0.0,0.0,0.0,0.0,0.0,0.0,0.9315138049223771,0.0,0.0684861950776229,0.0,0.0,0.0,0.0,0.0,0.0
71024292,0.0,0.0,0.0,0.10037053474638061,0.0,0.0,0.8398324704834864,0.0,0.059796994770133005,0.0,0.0,0.0,0.0,0.0,0.0
71024386,0.0,0.0,0.0,0.0,0.0,0.0,0.9454045709800393,0.0,0.05459542901996076,0.0,0.0,0.0,0.0,0.0,0.0
71024448,0.06729377733496665,0.0,0.09538421243256091,0.41361059579488435,0.0,0.0,0.4237114144375882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024474,0.153849463642581,0.0,0.14519644664932022,0.40024405140944624,0.0,0.0896404689116765,0.21106956938697602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024483,0.06749543440479149,0.0,0.0,0.24589227884676518,0.06195281046459461,0.06990407154733606,0.5547554047365127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024488,0.11769450845827686,0.0,0.0,0.23982698122505774,0.0,0.0891317248178103,0.553346785498855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024578,0.0,0.0,0.0,0.0,0.0,0.0,0.9427757645542939,0.0,0.057224235445706026,0.0,0.0,0.0,0.0,0.0,0.0
71024598,0.0,0.0,0.0,0.12079342569388336,0.0,0.0,0.8792065743061167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024619,0.09562618909117582,0.0,0.0,0.08942958337446398,0.0,0.0,0.7504552044844229,0.0,0.06448902304993734,0.0,0.0,0.0,0.0,0.0,0.0
71024720,0.0,0.0,0.0,0.15215404516823458,0.0,0.056500028635806845,0.7913459261959586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024795,0.06188715269403619,0.0,0.0,0.17613244087820967,0.0,0.09392612164318674,0.6680542847845674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024862,0.0,0.0,0.0,0.19027891971098385,0.0,0.0,0.8097210802890162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71024996,0.0,0.0,0.0,0.07040905367135446,0.0,0.0,0.9295909463286456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025043,0.0,0.0,0.0,0.05482532840824705,0.0,0.0,0.8782443777121219,0.0,0.06693029387963113,0.0,0.0,0.0,0.0,0.0,0.0
71025044,0.0,0.0,0.0,0.23840749927710667,0.0,0.0,0.7615925007228934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025052,0.09289881259167418,0.0,0.0,0.16015627300694593,0.0,0.08630394755269792,0.660640966848682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025125,0.10129333045452495,0.0,0.0,0.17988070333734102,0.0,0.14765067173002033,0.5138854366265259,0.0,0.0,0.05728985785158777,0.0,0.0,0.0,0.0,0.0
71025142,0.0,0.0,0.0,0.13375442451668226,0.0,0.0,0.8662455754833177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025201,0.0,0.0,0.0,0.0,0.0,0.0,0.8093642283160989,0.0,0.0,0.1906357716839012,0.0,0.0,0.0,0.0,0.0
71025219,0.0,0.0,0.0,0.1594133209200346,0.0,0.0,0.8405866790799654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025298,0.0,0.0,0.0,0.07231472390972979,0.0,0.0,0.8729867309473179,0.0,0.05469854514295222,0.0,0.0,0.0,0.0,0.0,0.0
71025323,0.0,0.0,0.0,0.0,0.0,0.0,0.6766799486491204,0.0,0.24181500462089817,0.08150504672998143,0.0,0.0,0.0,0.0,0.0
71025411,0.0,0.0,0.0,0.07743568001960473,0.0,0.0,0.9225643199803953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025440,0.0,0.0,0.0,0.19345374735602083,0.0,0.11684637909226636,0.6896998735517128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025547,0.0,0.0,0.0,0.06106073328611435,0.0,0.0,0.5359130684499993,0.0,0.0,0.40302619826388636,0.0,0.0,0.0,0.0,0.0
71025568,0.0,0.0,0.0,0.06784413940057044,0.0,0.0,0.9321558605994296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025583,0.0884349122561762,0.0,0.0,0.16516767305354763,0.0,0.12335831357963167,0.6230391011106445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025693,0.0,0.0,0.0720321933992634,0.11573253884761056,0.0,0.0,0.7294043461469174,0.0,0.0,0.08283092160620871,0.0,0.0,0.0,0.0,0.0
71025799,0.0693255251110079,0.0,0.0645244703125966,0.23006360491889927,0.0,0.0,0.6360863996574962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025839,0.0,0.0,0.0850720664437016,0.28296318458473246,0.0,0.0,0.631964748971566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71025869,0.0,0.0,0.0,0.07170217525954273,0.0,0.0,0.8576783878201079,0.0,0.0706194369203493,0.0,0.0,0.0,0.0,0.0,0.0
71025911,0.08105421938473133,0.0,0.1012801444671778,0.2387513219237147,0.0,0.09591590982683454,0.48299840439754177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026015,0.27490586461975003,0.0,0.08021307757256906,0.21645485269478285,0.0,0.11172684461884211,0.3166993604940558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026036,0.07268898619752019,0.0,0.10045287147053922,0.22110803970378923,0.0,0.08211443515108613,0.5236356674770652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026037,0.11508622006751848,0.0,0.07153675537977709,0.19301466143764184,0.0,0.08521930125029821,0.5351430618647643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026193,0.0,0.0,0.0,0.06458963401101481,0.0,0.06331781329999987,0.8720925526889853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026196,0.0651642211433938,0.08802731910380147,0.14849792424997904,0.25540775370135904,0.0,0.1040208876854657,0.338881894116001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026344,0.1424427303029615,0.05409180392477596,0.18416808205992352,0.16870093785561682,0.0,0.16492349770677697,0.2856729481499452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026572,0.2969772557649482,0.059046291925389974,0.1745968896938036,0.12485562302699325,0.0,0.14911325794464517,0.19541068164421976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026700,0.4251306681830912,0.08740880880574996,0.24761073376541395,0.08550170626993123,0.0,0.15434808297581368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026853,0.34684044361271127,0.0,0.30270005229036767,0.15357880882134145,0.0,0.13999396181986876,0.05688673345571083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71027942,0.0,0.0,0.0,0.13299121431664207,0.14324180817490104,0.0,0.05452181289370843,0.0,0.6692451646147485,0.0,0.0,0.0,0.0,0.0,0.0
71027957,0.0,0.0,0.0,0.23423469549385184,0.41038122874654687,0.0,0.223935670898826,0.0,0.13144840486077522,0.0,0.0,0.0,0.0,0.0,0.0
71027962,0.0,0.0,0.0,0.16713406848534398,0.2518826455529621,0.0,0.0,0.0,0.4862308525280099,0.09475243343368406,0.0,0.0,0.0,0.0,0.0
71027963,0.0,0.0,0.0,0.1525083520838399,0.3437920456835175,0.0,0.06301628614316925,0.0,0.4406833160894735,0.0,0.0,0.0,0.0,0.0,0.0
71027969,0.0,0.0,0.0,0.4446319200713299,0.34705785211593915,0.0,0.20831022781273104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71027979,0.0,0.0,0.0,0.44369969758766203,0.4013223718636109,0.0,0.15497793054872713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71027981,0.0,0.0,0.0,0.49609034462524765,0.3372999535314792,0.0,0.0,0.0,0.09945082129515483,0.0671588805481184,0.0,0.0,0.0,0.0,0.0
71027992,0.0,0.0,0.0,0.5539782262259766,0.36550372985267005,0.0,0.0,0.0,0.0,0.08051804392135341,0.0,0.0,0.0,0.0,0.0
71028007,0.10809787943467025,0.0,0.0,0.4301280971365457,0.27560936624536186,0.0,0.0,0.0,0.062016939617163425,0.12414771756625866,0.0,0.0,0.0,0.0,0.0
71028014,0.08798805860878095,0.0,0.0,0.32423720560643204,0.3598368532549172,0.0,0.0,0.0,0.22793788252986985,0.0,0.0,0.0,0.0,0.0,0.0
71028023,0.20024423688821094,0.0,0.0,0.3459530207722648,0.31539449246848716,0.0,0.0,0.0,0.13840824987103711,0.0,0.0,0.0,0.0,0.0,0.0
71028027,0.1486613068309947,0.0,0.0,0.1881048935722047,0.47041142904769095,0.0,0.0,0.0,0.19282237054910947,0.0,0.0,0.0,0.0,0.0,0.0
71028039,0.32390547675908377,0.0,0.0,0.44144982534058125,0.17382425789783684,0.0,0.0,0.0,0.0,0.060820440002498116,0.0,0.0,0.0,0.0,0.0
71028054,0.52602699245672,0.0,0.0,0.1051694890537941,0.13629153109209083,0.0,0.0,0.2325119873973951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028062,0.0,0.0,0.0,0.457615475062038,0.3010141112942218,0.0,0.24137041364374032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028073,0.4658927250290559,0.0,0.0,0.0,0.09099834109909631,0.0,0.0,0.3045118589122881,0.06675120323959256,0.07184587171996709,0.0,0.0,0.0,0.0,0.0
71028095,0.5808249393775439,0.0,0.0,0.0546672454183717,0.07731276667251101,0.0,0.0,0.21195749678457826,0.07523755174699519,0.0,0.0,0.0,0.0,0.0,0.0
71028097,0.0,0.0,0.0,0.4641006341356924,0.2682708995587985,0.0,0.20372687350794255,0.0,0.06390159279756646,0.0,0.0,0.0,0.0,0.0,0.0
71028132,0.2047835495847258,0.0,0.0,0.5354059972634626,0.19421875128242239,0.0,0.06559170186938933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028140,0.586087892972067,0.0,0.0,0.0,0.12193028587240443,0.0,0.0,0.23573387571144902,0.056247945444079704,0.0,0.0,0.0,0.0,0.0,0.0
71028159,0.6373181503522876,0.0,0.0,0.0,0.05622443430976358,0.0,0.0,0.30645741533794874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028189,0.6207128709270997,0.0,0.0,0.0,0.0,0.0,0.0,0.18697059007780734,0.0739196138110261,0.11839692518406687,0.0,0.0,0.0,0.0,0.0
71028215,0.44097726547419624,0.0,0.0,0.4842233424299936,0.07479939209581014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028221,0.692761370997511,0.0,0.0,0.0,0.0,0.0,0.0,0.30723862900248894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028249,0.5693500412456128,0.0,0.0,0.2142146606215067,0.13513310176728205,0.0,0.0,0.0,0.08130219636559849,0.0,0.0,0.0,0.0,0.0,0.0
71028304,0.5712364875385358,0.0,0.0,0.1320698411334473,0.10769998927113293,0.0,0.0,0.12235239856710307,0.0,0.06664128348978085,0.0,0.0,0.0,0.0,0.0
71028311,0.5450148148424332,0.0,0.0,0.0,0.1593491705694221,0.0,0.0,0.29563601458814476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028377,0.6916877024952636,0.0,0.0,0.17537759651167964,0.1329347009930568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028380,0.7682900103721684,0.0,0.0,0.1297112498301619,0.10199873979766967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028490,0.13476446390541968,0.0,0.0,0.19008507061032534,0.098840136471623,0.07009605256112714,0.5062142764515049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028494,0.08977906999470442,0.0,0.0,0.2656188240298504,0.0654948020029163,0.08407886144686141,0.4950284425256674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028498,0.12051762110021928,0.0,0.0,0.21659027867652525,0.07556245589037207,0.0,0.5873296443328834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028505,0.1095964795278312,0.0,0.0,0.23673025515608784,0.07304713957443967,0.0,0.471298348512591,0.0,0.10932777722905022,0.0,0.0,0.0,0.0,0.0,0.0
71028510,0.28553506609913437,0.0,0.0,0.13916702544794018,0.1447934851398944,0.0,0.36678036082725585,0.0,0.06372406248577508,0.0,0.0,0.0,0.0,0.0,0.0
71028524,0.06905285440230813,0.0,0.0,0.3256375829405954,0.120310975002413,0.055694550104800324,0.3135530876859832,0.0,0.05826868821181975,0.05748226165208016,0.0,0.0,0.0,0.0,0.0
71028526,0.21179340608423694,0.0,0.0,0.22279583438877204,0.12175259754640273,0.0,0.3570163962346754,0.0,0.0,0.0866417657459128,0.0,0.0,0.0,0.0,0.0
71028531,0.21440808426775385,0.0,0.0,0.1805893583214158,0.0,0.0861752610514834,0.40951405456101764,0.0,0.0,0.10931324179832932,0.0,0.0,0.0,0.0,0.0
71028546,0.0,0.0,0.0,0.11438560718411275,0.0,0.0,0.8856143928158873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028558,0.5200045153611373,0.0,0.08202052344166644,0.3979749611971962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028580,0.0,0.0,0.0,0.1083704046467092,0.0,0.0,0.8916295953532908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028585,0.5579467904722497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44205320952775035,0.0,0.0,0.0,0.0,0.0,0.0
71028597,0.4513259437602649,0.0,0.0,0.10410005413547625,0.1104323750701758,0.0,0.0,0.22213724432703325,0.0,0.11200438270704977,0.0,0.0,0.0,0.0,0.0
71028598,0.6473668359353898,0.0,0.0,0.35263316406461026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028609,0.6505842213998018,0.0,0.0,0.0,0.07279020221991356,0.0,0.0,0.2766255763802847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028657,0.5943700207868808,0.0,0.0,0.25145495461028483,0.15417502460283422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028663,0.4920121122879506,0.0,0.0,0.10860002675919886,0.39938786095285056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028675,0.0,0.0,0.0,0.06951598418609034,0.0,0.0,0.9304840158139097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028676,0.5848448795008943,0.0,0.0,0.0,0.1294952496612219,0.0,0.0,0.28565987083788386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028685,0.5633189429008824,0.0,0.0,0.07553013141679642,0.26263878521920536,0.0,0.0,0.0,0.0985121404631158,0.0,0.0,0.0,0.0,0.0,0.0
71028699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
